source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,scope_sha256,proposal_sha256
 Is Subcontracted,من الباطن,"preserved-site-override (not imported, plan §12)","PRESERVED-edge-whitespace exception: retain this exact source key and existing live v16.localhost Site Override verbatim; do not trim, normalize, import, or replace.",stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
 Skip Material Transfer,تخطي نقل المواد,"preserved-site-override (not imported, plan §12)","PRESERVED-edge-whitespace exception: retain this exact source key and existing live v16.localhost Site Override verbatim; do not trim, normalize, import, or replace.",stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Operations Routing,مسار العمليات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Order Date,تاريخ الأمر,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Order No,رقم الأمر,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Order Summary,ملخص الأمر,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
"Ordered Qty: Quantity ordered for purchase, but not received.",الكمية المطلوبة: كمية تم طلب شرائها ولم تستلم بعد.,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Other Settings,إعدادات أخرى,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Parent Row No,رقم الصف الأب,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Parent Row No not found for {0},لم يتم العثور على رقم الصف الأب لـ {0},quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
