source_text	translated_text	quorum_decision	decision_ref
2 years ago	منذ عامين	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
3 minutes ago	منذ 3 دقائق	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
5 days ago	منذ 5 أيام	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
API Endpoint Args should be valid JSON	يجب أن تكون وسيطات نقطة نهاية API قيمة JSON صالحة	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
API Key cannot be regenerated	لا يمكن إعادة إنشاء مفتاح API	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
About {0} minute remaining	بقيت دقيقة تقريبًا {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
About {0} minutes remaining	بقيت حوالي {0} دقائق	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
About {0} seconds remaining	بقيت حوالي {0} ثانية	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Added	تمت الإضافة	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Added default log doctypes: {}	تمت إضافة أنواع مستندات السجل الافتراضية: {}	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Adds a custom client script to a DocType	يضيف سكربت عميل مخصصًا إلى نوع مستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Adds a custom field to a DocType	يضيف حقلًا مخصصًا إلى نوع مستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Administrator can't follow	لا يمكن للمدير التنفيذي المتابعة	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Alias must be a string	يجب أن يكون الاسم المستعار نصًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Align	محاذاة	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Allow Consecutive Login Attempts	السماح بمحاولات تسجيل الدخول المتتالية	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Allow incomplete forms	السماح بالنماذج غير المكتملة	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Allow multiple responses	السماح بردود متعددة	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Allowed File Extensions	امتدادات الملفات المسموح بها	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Allowed Public Client Origins	مصادر العميل العام المسموح بها	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Allowed embedding domains	نطاقات التضمين المسموح بها	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Always use this name as sender name	استخدم دائمًا هذا الاسم كاسم المرسل	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Amended Document Naming Settings	إعدادات تسمية المستندات المعدّلة	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Amendment Naming Override	تجاوز تسمية التسوية	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Amendment Not Allowed	التسوية غير مسموح بها	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Amendment naming rules updated.	تم تحديث قواعد تسمية التسوية.	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Announcements	الإعلانات	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
Annual	سنوي	quorum-confirmed (release payload row)	stage6-W6-0b batch-6 owner-approved 2026-09-22
