source_text	translated_text	quorum_decision	decision_ref
Child Doctype	نوع مستند فرعي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Click here	انقر هنا	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Click to Set Filters	انقر لتعيين عوامل التصفية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Client Id	معرف العميل	preserved-site-override (not imported, plan §12)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Client Metadata	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Client Secret Basic	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Client Secret Post	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Client URI	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Client script	سكربت العميل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Code Challenge	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Code Editor Type	نوع محرر الشيفرة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Column 1	العمود 1	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Column 2	العمود 2	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Column {0}	العمود {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Communication Date	تاريخ التواصل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Communication Logs	سجلات التواصل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Company Name	اسم الشركة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Compilation warning	تحذير التجميع	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Completed By Role	مكتمل بواسطة الدور	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Completed By User	مكتمل بواسطة المستخدم	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Condition JSON	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Condition Type	نوع الشرط	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Configure Recorder	تكوين المسجّل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Connect to {}	الاتصال بـ {}	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Connected App	التطبيق المتصل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Connected User	المستخدم المتصل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Contact Us Settings	إعدادات اتصل بنا	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Correct version :	الإصدار الصحيح:	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Could not start up:	تعذّر بدء التشغيل:	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Created At	أنشئ في	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Current Job ID	معرف المهمة الحالي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Current Value	القيمة الحالية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Custom Blocks	كتل مخصصة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Custom Delimiters	فواصل مخصصة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Custom Footer	تذييل مخصص	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Custom Label	تسمية مخصصة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Custom Translation	ترجمة مخصصة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Customize Form - {0}	تخصيص النموذج - {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Daily Maintenance	صيانة يومية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Database Processes	عمليات قاعدة البيانات	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Database Version	إصدار قاعدة البيانات	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Debug Log	سجل تصحيح الأخطاء	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Default App	التطبيق الافتراضي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Default Naming	التسمية الافتراضية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Default User Role	دور المستخدم الافتراضي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Default User Type	نوع المستخدم الافتراضي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Defaults Updated	تم تحديث الإعدادات الافتراضية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Deletion Steps	خطوات الحذف	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Delimiter Options	خيارات الفاصل	preserved-site-override (not imported, plan §12)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Delivery Status	حالة التسليم	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Desk Settings	إعدادات المكتب	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Desk Theme	سمة المكتب	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Desk User	مستخدم المكتب	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Desktop Settings	إعدادات سطح المكتب	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Detect CSV type	اكتشاف نوع CSV	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Directory Server	خادم الدليل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Disable Scrolling	تعطيل التمرير	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Disable signups	تعطيل التسجيلات	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
DocType Layout Field	حقل تخطيط نوع المستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
DocType State	حالة نوع المستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
DocType {} not found	نوع المستند {} غير موجود	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Document Linking	ربط المستندات	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Document Unlocked	تم فتح قفل المستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Domain Name	اسم النطاق	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Download Backups	تنزيل النسخ الاحتياطية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Download Template	تنزيل القالب	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Download as CSV	تنزيل كـ CSV	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Download vCard	تنزيل vCard	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Download vCards	تنزيل بطاقات vCard	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Element Selector	عنصر التحديد	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Email Domain	نطاق البريد الإلكتروني	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Email Header	ترويسة البريد الإلكتروني	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Email ID	معرف البريد الإلكتروني	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Email Id	معرف البريد الإلكتروني	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Email Queue records.	سجلات طابور البريد الإلكتروني.	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Email Retry Limit	حد إعادة محاولة البريد	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Email Sent At	أُرسل البريد في	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Emails Pulled	الرسائل المسحوبة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Embed code copied	تم نسخ كود التضمين	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Enable Rate Limit	تفعيل حد المعدل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Enable Scheduler	تفعيل المجدول	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Enabled Scheduler	المجدول مفعّل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Encrypt Backups	تشفير النسخ الاحتياطية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Ended At	انتهى في	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Enqueued By	طُرح بواسطة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Entity Type	نوع الكيان	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Error Logs	سجلات الأخطاء	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Error Message	رسالة الخطأ	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Error {0}: {1}	خطأ {0}: {1}	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Event Frequency	تكرار الحدث	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Exact Copies	نسخ مطابقة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Existing Role	الدور الحالي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Expires On	تنتهي في	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Extra Parameters	معاملات إضافية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Failed Emails	رسائل بريد فاشلة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Failed Job Count	عدد المهام الفاشلة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Failed Jobs	مهام فاشلة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Failure Rate	معدل الفشل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Field Missing	حقل مفقود	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Field Name	اسم الحقل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
File Storage	تخزين الملفات	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Filtered By	مُصفّى بواسطة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Filters Editor	محرر عوامل التصفية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Finished At	انتهى في	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Folder Name	اسم المجلد	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Footer Based On	التذييل بناءً على	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Footer Content	محتوى التذييل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Footer Details	تفاصيل التذييل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Footer Image	صورة التذييل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Footer Script	سكربت التذييل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
For DocType	لنوع المستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
For Document	للمستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Force Stop job	إيقاف المهمة قسريًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Form Builder	منشئ النماذج	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Form Dict	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Form Tour Step	خطوة جولة النموذج	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Frappe Mail	بريد Frappe	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Frappe Mail Site	موقع بريد Frappe	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Frappe Support	دعم Frappe	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
From Date	من تاريخ	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
From Field	من حقل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
From User	من مستخدم	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Geolocation Settings	إعدادات تحديد الموقع الجغرافي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Google Drive Picker	منتقي Google Drive	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Half Yearly	نصف سنوي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Handled Emails	رسائل بريد تمت معالجتها	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Has Next Condition	لديه شرط تالٍ	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Has Setup Wizard	لديه معالج الإعداد	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Header Icon	أيقونة الترويسة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Header Script	سكربت الترويسة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Header, Robots	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Help Articles	مقالات المساعدة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hidden Fields	حقول مخفية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hide Buttons	إخفاء الأزرار	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hide Descendants	إخفاء التبعيات	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hide Label	إخفاء التسمية	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hide footer	إخفاء التذييل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hide footer signup	إخفاء تسجيل التذييل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hide navbar	إخفاء شريط التنقل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Hourly Maintenance	صيانة كل ساعة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
IMAP Details	تفاصيل IMAP	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
IMAP Folder	مجلد IMAP	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Icon Style	نمط الأيقونة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Icon Type	نوع الأيقونة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Illegal template	قالب غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Image Height	ارتفاع الصورة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Image Width	عرض الصورة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Image optimized	تم تحسين الصورة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Impersonate as {0}	انتحال هوية {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
In Minutes	بالدقائق	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
In Read Only Mode	في وضع القراءة فقط	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Include Name Field	تضمين حقل الاسم	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Incoming Server	خادم الوارد	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Incoming Settings	إعدادات الوارد	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Incorrect value:	قيمة غير صحيحة:	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Indicator Color	لون المؤشر	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Intro Video URL	رابط الفيديو التعريفي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Introspection URI	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid Action	إجراء غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid Credentials	بيانات اعتماد غير صالحة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid DocType	نوع مستند غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid DocType: {0}	نوع مستند غير صالح: {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid Doctype	نوع مستند غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid Fieldname	اسم حقل غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid File URL	رابط ملف غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
