source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
3 Yearly,كل 3 سنوات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_maintenance_task/asset_maintenance_task.json:None
Account not Found,الحساب غير موجود,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:883
Adjust Asset Value,تعديل قيمة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:152
Asset Activity,نشاط الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_activity/asset_activity.json:None; erpnext/assets/report/asset_activity/asset_activity.json:None; erpnext/assets/workspace/assets/assets.json:None
Asset Capitalization,رسملة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None; erpnext/assets/doctype/asset_capitalization/asset_capitalization.json:None; erpnext/assets/workspace/assets/assets.json:None
Asset Capitalization Asset Item,عنصر أصل رسملة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization_asset_item/asset_capitalization_asset_item.json:None
Asset Capitalization Service Item,عنصر خدمة رسملة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization_service_item/asset_capitalization_service_item.json:None
Asset Capitalization Stock Item,عنصر مخزون رسملة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization_stock_item/asset_capitalization_stock_item.json:None
Asset Depreciation Schedule,جدول إهلاك الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json:None
Asset Depreciation Schedule for Asset {0} and Finance Book {1} is not using shift based depreciation,جدول إهلاك الأصل للأصل {0} ودفتر التمويل {1} لا يستخدم الإهلاك القائم على الورديات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.py:179
Asset Depreciation Schedule not found for Asset {0} and Finance Book {1},لم يتم العثور على جدول إهلاك الأصل للأصل {0} ودفتر التمويل {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:247; erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.py:185
Asset Depreciation Schedule {0} for Asset {1} already exists.,جدول إهلاك الأصل {0} للأصل {1} موجود بالفعل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:83
Asset Depreciation Schedule {0} for Asset {1} and Finance Book {2} already exists.,جدول إهلاك الأصل {0} للأصل {1} ودفتر التمويل {2} موجود بالفعل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:77
Asset ID,معرف الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/report/fixed_asset_register/fixed_asset_register.py:477
Asset Quantity,كمية الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None
Asset Repair Consumed Item,عنصر مستهلك لإصلاح الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair_consumed_item/asset_repair_consumed_item.json:None
Asset Repair Purchase Invoice,فاتورة شراء إصلاح الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair_purchase_invoice/asset_repair_purchase_invoice.json:None
Asset Shift Allocation,تخصيص وردية الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.json:None
Asset Shift Factor,معامل وردية الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_shift_factor/asset_shift_factor.json:None
Asset Shift Factor {0} is set as default currently. Please change it first.,معامل وردية الأصل {0} محدد كافتراضي حاليًا. يرجى تغييره أولاً.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_shift_factor/asset_shift_factor.py:32
Asset cancelled,تم إلغاء الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:272
Asset cannot be scrapped before the last depreciation entry.,لا يمكن تخريد الأصل قبل قيد الإهلاك الأخير.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:391
Asset capitalized after Asset Capitalization {0} was submitted,تمت رسملة الأصل بعد ترحيل رسملة الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.py:612
Asset created,تم إنشاء الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:281
