source_text,classification,location,suppression_rationale,ai_r_ref,length,app,suggested_ar
A7,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A8,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
A9,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
Always,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),6,frappe,
Ar,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
Ask,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),3,frappe,
B0,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B1,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B10,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),3,frappe,
B2,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B3,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B4,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B5,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B6,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B7,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B8,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
B9,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),2,frappe,
C5E,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),3,frappe,
CSS,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),3,frappe,
Column width cannot be zero.,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),28,frappe,
Comm10E,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),7,frappe,
Component,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),9,frappe,
DLE,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),3,frappe,
Dependencies,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),12,frappe,
DocType must have atleast one field,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),35,frappe,
Don't have an account?,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),22,frappe,
ESC,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),3,frappe,
Excellent,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),9,frappe,
Executive,translation-candidate,in-ledger (no vendor PO location match),,AI-R: confirm prior-approved exclusion at W6-0b AI-R pass (stage6-w60b AI-R record),9,frappe,
