source_text,suggested_ar,locations,area,has_pre_filled
 Is Subcontracted,من الباطن,erpnext/manufacturing/doctype/job_card/job_card.json:None,manufacturing,1
 Skip Material Transfer,تخطي نقل المواد,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None,manufacturing,1
Operations Routing,مسار العمليات,erpnext/manufacturing/doctype/bom_creator/bom_creator.json:None,manufacturing,1
Order Date,تاريخ الأمر,erpnext/manufacturing/doctype/blanket_order/blanket_order.json:None,manufacturing,1
Order No,رقم الأمر,erpnext/manufacturing/doctype/blanket_order/blanket_order.json:None,manufacturing,1
Order Summary,ملخص الأمر,erpnext/manufacturing/notification/material_request_receipt_notification/material_request_receipt_notification.html:4,manufacturing,1
"Ordered Qty: Quantity ordered for purchase, but not received.",الكمية المطلوبة: كمية تم طلب شرائها ولم تستلم بعد.,erpnext/manufacturing/doctype/production_plan/production_plan.js:179,manufacturing,1
Other Settings,إعدادات أخرى,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,1
Parent Row No,رقم الصف الأب,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None,manufacturing,1
Parent Row No not found for {0},,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:511,manufacturing,0
Party Item Code,كود صنف الجهة,erpnext/manufacturing/doctype/blanket_order_item/blanket_order_item.json:None,manufacturing,1
Pause Job,إيقاف العمل مؤقتا,erpnext/manufacturing/doctype/job_card/job_card.js:255,manufacturing,1
Phantom Item,صنف وهمي,erpnext/manufacturing/doctype/bom/bom_item_preview.html:16; erpnext/public/js/bom_configurator/bom_configurator.bundle.js:321,manufacturing,1
Planned Purchase Order,أمر شراء مخطط,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1026,manufacturing,1
"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.",,erpnext/manufacturing/doctype/production_plan/production_plan.js:179,manufacturing,0
Planned Work Order,أمر عمل مخطط,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1031,manufacturing,1
Plant Dashboard,لوحة المصنع,erpnext/manufacturing/doctype/plant_floor/plant_floor.json:None,manufacturing,1
Plant Floor,أرضية المصنع,erpnext/manufacturing/doctype/plant_floor/plant_floor.json:None; erpnext/manufacturing/doctype/workstation/workstation.json:None; erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None; erpnext/public/js/plant_floor_visual/visual_plant.js:53,manufacturing,1
Please check either with operations or FG Based Operating Cost.,,erpnext/manufacturing/doctype/bom/bom.js:87,manufacturing,0
Please mention the Current and New BOM for replacement.,,erpnext/manufacturing/doctype/bom_update_log/bom_update_log.py:70,manufacturing,0
Please select a Work Order first.,,erpnext/manufacturing/doctype/job_card/job_card.py:1444,manufacturing,0
Please select a row to create a Reposting Entry,يرجى تحديد صف لإنشاء قيد إعادة ترحيل,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:135; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.js:73,manufacturing,1
Please select atleast one operation to create Job Card,,erpnext/manufacturing/doctype/work_order/work_order.js:381,manufacturing,0
Please set Parent Row No for item {0},,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:256,manufacturing,0
Please set actual demand or sales forecast to generate Material Requirements Planning Report.,,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:68,manufacturing,0
Please set the Target Warehouse in the Job Card,,erpnext/manufacturing/doctype/job_card/job_card.py:1507,manufacturing,0
Please set the WIP Warehouse in the Job Card,,erpnext/manufacturing/doctype/job_card/job_card.py:1511,manufacturing,0
Please set {0} in BOM Creator {1},,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:209,manufacturing,0
Please uncheck 'Show in Bucket View' to create Orders,,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:139,manufacturing,0
Preview Required Materials,معاينة المواد المطلوبة,erpnext/manufacturing/doctype/production_plan/production_plan.json:None,manufacturing,1
Process Loss,خسارة العملية,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/stock/doctype/stock_entry/stock_entry.json:None,manufacturing,1
Process Loss Percentage cannot be greater than 100,,erpnext/manufacturing/doctype/bom/bom.py:1165,manufacturing,0
Process Loss Qty,كمية خسارة العملية,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/manufacturing/doctype/job_card/job_card.json:None; erpnext/manufacturing/doctype/work_order/work_order.json:None; erpnext/manufacturing/doctype/work_order_operation/work_order_operation.json:None; erpnext/manufacturing/report/process_loss_report/process_loss_report.py:94; erpnext/stock/doctype/stock_entry/stock_entry.json:None; erpnext/subcontracting/doctype/subcontracting_inward_order_item/subcontracting_inward_order_item.json:None,manufacturing,1
