source_text	translated_text	quorum_decision	decision_ref
Map columns from {0} to fields in {1}	تعيين الأعمدة من {0} إلى الحقول في {1}	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Move cursor to above row	تحريك المؤشر إلى الصف السابق	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Move cursor to below row	تحريك المؤشر إلى الصف التالي	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Move cursor to next column	تحريك المؤشر إلى العمود التالي	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Move cursor to previous column	تحريك المؤشر إلى العمود السابق	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Move sections to new tab	نقل الأقسام إلى علامة تبويب جديدة	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Navigate to main content	الانتقال إلى المحتوى الرئيسي	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
No Email Accounts Assigned	لا توجد حسابات بريد إلكتروني معينة	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
No address added yet.	لم يُضف أي عنوان بعد.	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
No contacts added yet.	لم تُضف أي جهات اتصال بعد.	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Notifications Disabled	تم تعطيل الإشعارات	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
OR	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Onboard	التهيئة	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Optimize	تحسين	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Orange	برتقالي	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
Overview	نظرة عامة	quorum-confirmed (release payload row)	stage6-W6-0b batch-3 owner-approved 2026-09-22
