source_text	translated_text	quorum_decision	decision_ref
A7	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
A8	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
A9	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Always	دائمًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Ar	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Ask	اسأل	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B0	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B1	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B10	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B2	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B3	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B4	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B5	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B6	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B7	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B8	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
B9	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
C5E	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
CSS	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Column width cannot be zero.	لا يمكن أن يكون عرض العمود صفرًا.	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Comm10E	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Component	مكوّن	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
DLE	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Dependencies	الاعتماديات	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
DocType must have atleast one field	يجب أن يحتوي DocType على حقل واحد على الأقل	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Don't have an account?	ليس لديك حساب؟	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
ESC	Esc	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Excellent	ممتاز	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Executive	تنفيذي	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Fieldname {0} appears multiple times	اسم الحقل {0} يظهر عدة مرات	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Folio	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Free	مجاني	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Here's your tracking URL	إليك رابط التتبع	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Insert Image in Markdown	إدراج صورة بتنسيق Markdown	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Inter	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Legal	قانوني	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Password cannot be filtered	لا يمكن التصفية بكلمة المرور	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Progress	التقدّم	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
SWATCHES	عينات الألوان	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Send	إرسال	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Solid	صلب	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Source	المصدر	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Start	بدء	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Strong	قوية	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Tabloid	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Type a reply / comment	اكتب ردًا / تعليقًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Weak	ضعيفة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Welcome	مرحبًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
cyan	سماوي	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
this form	هذه النموذج	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
vscode	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Cannot cancel {0}.	لا يمكن إلغاء {0}.	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Cannot submit {0}.	لا يمكن ترحيل {0}.	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Discard {0}	تجاهل {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Discard?	هل تريد التجاهل؟	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Loading versions...	جارٍ تحميل الإصدارات...	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Notification sent to	تم إرسال الإشعار إلى	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Permanently Discard {0}?	هل تريد التجاهل النهائي لـ {0}؟	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Preview Mode	وضع المعاينة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Preview on {0}	معاينة على {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Preview type	نوع المعاينة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Workspace {0} created	تم إنشاء مساحة العمل {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
About Us	من نحن	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
All Day	طوال اليوم	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
All Submissions	كل الترحيلات	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Apply Filters	تطبيق عوامل التصفية	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Awesome Work	عمل رائع	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Billing Contact	جهة اتصال الفوترة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Cannot {0} {1}.	لا يمكن {0} {1}.	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Card Links	روابط البطاقات	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Change Image	تغيير الصورة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Clear Assignment	مسح الإسناد	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Compare Versions	مقارنة الإصدارات	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Complete Setup	إكمال الإعداد	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Connection Lost	انقطع الاتصال	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Contact Us	اتصل بنا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Current status	الحالة الحالية	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Custom Block Name	اسم الكتلة المخصصة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Date Range	نطاق التاريخ	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Deadlock Occurred	حدث ركود	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Discussion Reply	رد النقاش	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
DocType Layout	تخطيط DocType	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
DocType Missing	DocType مفقود	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Document Name	اسم المستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Drag to add state	اسحب لإضافة حالة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Drop files here	أسقط الملفات هنا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Empty column	عمود فارغ	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
File upload failed.	فشل رفع الملف.	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Filters {0}	عوامل تصفية {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Find '{0}' in ...	ابحث عن '{0}' في ...	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Followed by	يليه	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
For example:	على سبيل المثال:	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Frappe Blog	مدونة Frappe	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Frappe Forum	منتدى Frappe	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Frappe Light	Frappe الفاتح	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
From version	من إصدار	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Go to Workflow	الذهاب إلى سير العمل	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Greater Than	أكبر من	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
ID (name)	المعرّف (الاسم)	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Impersonated by {0}	ينتحل شخصية {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Impersonating {0}	ينتحل شخصية {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Include Disabled	تضمين المعطّلة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Indicator color	لون المؤشر	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Installed Apps	التطبيقات المثبّتة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Invalid input	إدخال غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Kanban Settings	إعدادات كانبان	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Keep Closed	إبقاء مغلقًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Last 14 Days	آخر 14 يومًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Last 30 Days	آخر 30 يومًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Last 6 Months	آخر 6 أشهر	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Last 7 Days	آخر 7 أيام	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Last 90 Days	آخر 90 يومًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Less Than	أصغر من	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Logs To Clear	سجلات للمسح	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Mark all as read	تعليم الكل كمقروء	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
Missing Value	قيمة مفقودة	quorum-confirmed (release payload row)	stage6-W6-0b batch-2 owner-approved 2026-09-22
