source_text	translated_text	quorum_decision	decision_ref
% Billed	نسبة المفوتر	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Action If Same Rate is Not Maintained	الإجراء إذا لم يتم الحفاظ على نفس السعر	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Added Supplier Role to User {0}.	تمت إضافة دور المورد للمستخدم {0}.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Advance Paid	المدفوع مسبقا	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Advance Payment	دفعة مقدمة	already-released (catalog row retained; not re-appended)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Advance Payment Status	حالة الدفعة المقدمة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Purchase Order with Zero Quantity	السماح بأمر شراء بكمية صفر	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Request for Quotation with Zero Quantity	السماح بطلب عرض سعر بكمية صفر	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Supplier Quotation with Zero Quantity	السماح بعرض سعر مورد بكمية صفر	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allowed Items	الأصناف المسموحة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Amount to Bill	المبلغ المطلوب فوترته	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Analysis Chart	مخطط التحليل	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Auto Create Purchase Receipt	إنشاء إيصال شراء تلقائيا	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Auto Create Subcontracting Order	إنشاء أمر مقاولات باطن تلقائيًا	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Available Qty For Consumption	الكمية المتاحة للاستهلاك	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Available Qty at Company	الكمية المتاحة في الشركة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Available Qty at Target Warehouse	الكمية المتاحة في المستودع الهدف	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Average Order Values	متوسط قيم الأوامر	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Bill for Rejected Quantity in Purchase Invoice	فوترة الكمية المرفوضة في فاتورة الشراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Billed, Received & Returned	مفوتر، مستلَم، ومرتجع	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Billing Address Details	تفاصيل عنوان الفوترة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Blanket Order Allowance (%)	نسبة سماحية الأمر المفتوح	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Categorize by Item	تصنيف حسب الصنف	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Categorize by Supplier	تصنيف حسب المورد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Configure the action to stop the transaction or just warn if the same rate is not maintained.	تكوين الإجراء لإيقاف المعاملة أو مجرد تنبيه في حال عدم الالتزام بنفس السعر.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Could not find path for	تعذّر العثور على المسار لـ	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Create Link	إنشاء رابط	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Created {0} scorecards for {1} between:	تم إنشاء {0} بطاقات تقييم لـ {1} بين:	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Creating Stock Entry	جار إنشاء قيد مخزون	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Creating Subcontracting Order ...	جارٍ إنشاء أمر مقاولة باطن ...	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Criteria	المعايير	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Criteria weights must add up to 100%	يجب أن يكون مجموع أوزان المعايير 100%	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Customer Number	رقم العميل	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Customer Number At Supplier	رقم العميل لدى المورد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Customer Numbers	أرقام العملاء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Disable Last Purchase Rate	تعطيل آخر سعر شراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Dispatch Address Details	تفاصيل عنوان الإرسال	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Download PDF for Supplier	تنزيل PDF للمورد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Expires in a week or less	تنتهي صلاحيته خلال أسبوع أو أقل	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Expires today or already expired	تنتهي صلاحيته اليوم أو انتهت بالفعل	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Finished Good Qty	كمية المنتج النهائي	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Fixed Outgoing Email Account	حساب البريد الصادر الثابت	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Fully Paid	مدفوع بالكامل	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Get Supplier Group Details	جلب تفاصيل مجموعة الموردين	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Has Unit Price Items	يحتوي على أصناف بسعر وحدة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
How often should Project be updated of Total Purchase Cost ?	كم مرة يجب تحديث إجمالي تكلفة الشراء في المشروع؟	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
If checked, Rejected Quantity will be included while making Purchase Invoice from Purchase Receipt.	عند التحديد، ستُضمَّن الكمية المرفوضة عند إنشاء فاتورة الشراء من إيصال الشراء.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
If enabled, a print of this document will be attached to each email	عند التفعيل، ستُرفق طباعة لهذا المستند مع كل رسالة بريد إلكتروني	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
If enabled, all files attached to this document will be attached to each email	عند التفعيل، ستُرفق جميع الملفات المرفقة بهذا المستند مع كل رسالة بريد إلكتروني	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
If enabled, the system will generate an accounting entry for materials rejected in the Purchase Receipt.	عند التفعيل، سيُنشئ النظام قيدًا محاسبيًا للمواد المرفوضة في إيصال الشراء.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Include Closed Orders	تضمين الأوامر المغلقة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Inter Company Sales Order	أمر بيع بين الشركات	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Internal Sales Order	أمر بيع داخلي	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Internal Supplier	مورد داخلي	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Internal Supplier for company {0} already exists	يوجد مورد داخلي بالفعل للشركة {0}	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Items & Pricing	الأصناف والتسعير	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Items to Order and Receive	أصناف للطلب والاستلام	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Learn Procurement	تعرّف على المشتريات	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Link with Customer	ربط مع عميل	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Linking Failed	فشل الربط	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Linking to Customer Failed. Please try again.	فشل الربط بالعميل. يرجى المحاولة مرة أخرى.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
MPS	خطة الإنتاج الرئيسية	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Naming Series and Price Defaults	سلاسل التسمية وإعدادات السعر الافتراضية	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Not Initiated	لم يبدأ	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Order Status	حالة الأمر	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Over Transfer Allowance (%)	نسبة سماحية النقل الزائد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Partnership	شراكة	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Percentage you are allowed to order beyond the Blanket Order quantity.	النسبة المسموح بها للطلب بما زاد عن كمية الأمر المفتوح.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Please add 'Supplier' role to user {0}.	يرجى إضافة دور 'المورد' للمستخدم {0}.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Please add Request for Quotation to the sidebar in Portal Settings.	يرجى إضافة طلب عرض السعر إلى الشريط الجانبي في إعدادات البوابة.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Portal Users	مستخدمو البوابة	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Price ({0})	السعر ({0})	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Price Per Unit ({0})	السعر لكل وحدة ({0})	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
