source_text,suggested_ar,locations,area,has_pre_filled
% Billed,نسبة المفوتر,erpnext/buying/doctype/purchase_order/purchase_order.json:None,buying,1
Action If Same Rate is Not Maintained,الإجراء إذا لم يتم الحفاظ على نفس السعر,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,1
Added Supplier Role to User {0}.,,erpnext/buying/doctype/supplier/supplier.py:132,buying,0
Advance Paid,المدفوع مسبقا,erpnext/buying/doctype/purchase_order/purchase_order.json:None; erpnext/selling/doctype/sales_order/sales_order.json:None,buying,1
Advance Payment,دفعة مقدمة,erpnext/buying/doctype/purchase_order/purchase_order_list.js:75; erpnext/selling/doctype/sales_order/sales_order_list.js:122,buying,1
Advance Payment Status,حالة الدفعة المقدمة,erpnext/buying/doctype/purchase_order/purchase_order.json:None; erpnext/selling/doctype/sales_order/sales_order.json:None,buying,1
Allow Purchase Order with Zero Quantity,,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,0
Allow Request for Quotation with Zero Quantity,,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,0
Allow Supplier Quotation with Zero Quantity,,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,0
Allowed Items,الأصناف المسموحة,erpnext/buying/doctype/supplier/supplier.json:None; erpnext/selling/doctype/customer/customer.json:None,buying,1
Amount to Bill,المبلغ المطلوب فوترته,erpnext/buying/report/purchase_order_analysis/purchase_order_analysis.py:189; erpnext/selling/report/sales_order_analysis/sales_order_analysis.py:209,buying,1
Analysis Chart,,erpnext/buying/report/supplier_quotation_comparison/supplier_quotation_comparison.html:124,buying,0
Auto Create Purchase Receipt,إنشاء إيصال شراء تلقائيا,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,1
Auto Create Subcontracting Order,إنشاء أمر مقاولات باطن تلقائيًا,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,1
Available Qty For Consumption,الكمية المتاحة للاستهلاك,erpnext/buying/doctype/purchase_receipt_item_supplied/purchase_receipt_item_supplied.json:None; erpnext/subcontracting/doctype/subcontracting_receipt_supplied_item/subcontracting_receipt_supplied_item.json:None,buying,1
Available Qty at Company,الكمية المتاحة في الشركة,erpnext/buying/doctype/purchase_order_item/purchase_order_item.json:None,buying,1
Available Qty at Target Warehouse,الكمية المتاحة في المستودع الهدف,erpnext/buying/doctype/purchase_order_item/purchase_order_item.json:None,buying,1
Average Order Values,متوسط قيم الأوامر,erpnext/buying/workspace/buying/buying.json:None,buying,1
Bill for Rejected Quantity in Purchase Invoice,فوترة الكمية المرفوضة في فاتورة الشراء,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,1
"Billed, Received & Returned",,erpnext/buying/doctype/purchase_order_item/purchase_order_item.json:None,buying,0
Billing Address Details,تفاصيل عنوان الفوترة,erpnext/buying/doctype/purchase_order/purchase_order.json:None; erpnext/buying/doctype/request_for_quotation/request_for_quotation.json:None; erpnext/buying/doctype/supplier_quotation/supplier_quotation.json:None; erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None,buying,1
Blanket Order Allowance (%),نسبة سماحية الأمر المفتوح,erpnext/buying/doctype/buying_settings/buying_settings.json:None; erpnext/selling/doctype/selling_settings/selling_settings.json:None,buying,1
Categorize by Item,تصنيف حسب الصنف,erpnext/buying/report/supplier_quotation_comparison/supplier_quotation_comparison.js:84,buying,1
Categorize by Supplier,تصنيف حسب المورد,erpnext/buying/report/supplier_quotation_comparison/supplier_quotation_comparison.js:83; erpnext/buying/report/supplier_quotation_comparison/supplier_quotation_comparison.js:86,buying,1
Configure the action to stop the transaction or just warn if the same rate is not maintained.,,erpnext/buying/doctype/buying_settings/buying_settings.json:None,buying,0
