source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
 Summary,,DEFERRED-runtime-key-normalization,Defer this fragment: the vendor constructs `project_name + ' ' + 'Summary'`; the standalone fragment is not the runtime msgid.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
% Amount Billed,نسبة المبلغ المفوتر,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
% Complete Method,طريقة نسبة الإنجاز,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
% Completed,نسبة الإنجاز,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
% Progress,نسبة التقدم,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Average Completion,متوسط الإنجاز,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Base Total Billable Amount,إجمالي المبلغ القابل للفوترة الأساسي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Base Total Billed Amount,إجمالي المبلغ المفوتر الأساسي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Base Total Costing Amount,إجمالي مبلغ التكلفة الأساسي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Begin On (Days),يبدأ بعد (أيام),"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Cannot complete task {0} as its dependant task {1} are not completed / cancelled.,لا يمكن إكمال المهمة {0} لأن المهمة التي تعتمد عليها ({1}) لم تكتمل أو تُلغَ.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
