source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
 Summary,,DEFERRED-runtime-key-normalization,Defer this fragment: the vendor constructs `project_name + ' ' + 'Summary'`; the standalone fragment is not the runtime msgid.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project_update/project_update.py:104
% Amount Billed,نسبة المبلغ المفوتر,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet/timesheet.json:None; erpnext/selling/doctype/sales_order/sales_order.json:None; erpnext/stock/doctype/delivery_note/delivery_note.json:None; erpnext/stock/doctype/purchase_receipt/purchase_receipt.json:None
% Complete Method,طريقة نسبة الإنجاز,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.json:None
% Completed,نسبة الإنجاز,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.json:None
% Progress,نسبة التقدم,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.json:None
Average Completion,متوسط الإنجاز,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/project_summary/project_summary.py:124
Base Total Billable Amount,إجمالي المبلغ القابل للفوترة الأساسي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet/timesheet.json:None
Base Total Billed Amount,إجمالي المبلغ المفوتر الأساسي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet/timesheet.json:None
Base Total Costing Amount,إجمالي مبلغ التكلفة الأساسي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet/timesheet.json:None
Begin On (Days),يبدأ بعد (أيام),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.json:None
Cannot complete task {0} as its dependant task {1} are not completed / cancelled.,لا يمكن إكمال المهمة {0} لأن المهمة التي تعتمد عليها ({1}) لم تكتمل أو تُلغَ.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:145
Cannot convert Task to non-group because the following child Tasks exist: {0}.,لا يمكن تحويل المهمة إلى مهمة غير تجميعية لوجود المهام الفرعية التالية: {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.js:49
Circular Reference Error,خطأ مرجع دائري,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:260
Completed On,اكتمل في,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.json:None
Completed On cannot be greater than Today,لا يمكن أن يكون تاريخ الإكمال بعد اليوم,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:185
Completed Projects,المشاريع المكتملة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/workspace/projects/projects.json:None
Completed Tasks,المهام المكتملة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/project_summary/project_summary.py:136; erpnext/public/js/templates/crm_activities.html:64
