source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
 Is Subcontracted,من الباطن,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
 Skip Material Transfer,تخطي نقل المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
# In Stock,العدد في المخزون,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:148
# Req'd Items,عدد الأصناف المطلوبة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:141
% Finished Item Quantity,نسبة كمية الصنف النهائي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.js:962
% Process Loss,نسبة خسارة العملية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/stock/doctype/stock_entry/stock_entry.json:None; erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None
0-30 Days,0-30 يومًا,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_summary/work_order_summary.py:110
30-60 Days,30-60 يومًا,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_summary/work_order_summary.py:110
60-90 Days,60-90 يومًا,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_summary/work_order_summary.py:110
A Holiday List can be added to exclude counting these days for the Workstation.,يمكن إضافة قائمة عطلات لاستبعاد حساب هذه الأيام لمحطة العمل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.js:73
Active Status,حالة نشطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.json:None
Actual Demand,الطلب الفعلي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None
Actual End Date cannot be before Actual Start Date,لا يمكن أن يكون تاريخ الانتهاء الفعلي قبل تاريخ البدء الفعلي,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:222
