source_text,suggested_ar,locations,area,has_pre_filled
Incompatible Setting Detected,تم اكتشاف إعداد غير متوافق,erpnext/stock/doctype/stock_settings/stock_settings.js:68,stock,1
Incorrect Balance Qty After Transaction,كمية الرصيد غير الصحيحة بعد المعاملة,erpnext/stock/report/incorrect_balance_qty_after_transaction/incorrect_balance_qty_after_transaction.json:None,stock,1
Incorrect Check in (group) Warehouse for Reorder,,erpnext/stock/doctype/item/item.py:532,stock,0
Incorrect Component Quantity,,erpnext/stock/doctype/stock_entry/stock_entry.py:935,stock,0
Incorrect Invoice,فاتورة غير صحيحة,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:135,stock,1
Incorrect Reference Document (Purchase Receipt Item),,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:108,stock,0
Incorrect Serial No Valuation,تقييم الرقم التسلسلي غير الصحيح,erpnext/stock/report/incorrect_serial_no_valuation/incorrect_serial_no_valuation.json:None,stock,1
Incorrect Serial and Batch Bundle,مجموعة التسلسل والدفعة غير الصحيحة,erpnext/stock/report/incorrect_serial_and_batch_bundle/incorrect_serial_and_batch_bundle.json:None,stock,1
Incorrect Stock Value Report,تقرير قيمة المخزون غير الصحيحة,erpnext/stock/report/incorrect_stock_value_report/incorrect_stock_value_report.json:None,stock,1
Incorrect Type of Transaction,,erpnext/stock/serial_batch_bundle.py:136,stock,0
Individual Stock Ledger Entry cannot be cancelled.,,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py:347,stock,0
Insufficient Capacity,سعة غير كافية,erpnext/stock/doctype/putaway_rule/putaway_rule.py:82; erpnext/stock/doctype/putaway_rule/putaway_rule.py:325,stock,1
Insufficient Stock for Batch,مخزون غير كاف للدفعة,erpnext/stock/stock_ledger.py:2217,stock,1
Invalid Document,مستند غير صالح,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:122,stock,1
Invalid Formula,صيغة غير صالحة,erpnext/stock/doctype/quality_inspection/quality_inspection.py:319; erpnext/stock/doctype/quality_inspection/quality_inspection.py:324,stock,1
Invalid Item Defaults,,erpnext/stock/doctype/item/item.py:1408,stock,0
Invalid Priority,,erpnext/stock/doctype/putaway_rule/putaway_rule.py:61,stock,0
Invalid Query,,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:435,stock,0
Invalid Serial and Batch Bundle,,erpnext/stock/doctype/stock_entry/stock_entry.py:1669,stock,0
Invalid Source and Target Warehouse,,erpnext/stock/doctype/stock_entry/stock_entry.py:969; erpnext/stock/doctype/stock_entry/stock_entry.py:991,stock,0
Invalid Warehouse,مستودع غير صالح,erpnext/stock/doctype/putaway_rule/putaway_rule.py:70; erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:256,stock,1
Invalid search query,,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:435,stock,0
Inventory Account Currency,عملة حساب المخزون,erpnext/stock/doctype/item_default/item_default.json:None,stock,1
Inventory Dimension Negative Stock,مخزون سالب لبُعد المخزون,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py:160,stock,1
Inventory Dimension key,مفتاح بُعد المخزون,erpnext/stock/doctype/stock_closing_balance/stock_closing_balance.json:None,stock,1
Inventory Settings,إعدادات المخزون,erpnext/stock/doctype/item/item.json:None,stock,1
Is Additional Transfer Entry,قيد نقل إضافي,erpnext/stock/doctype/stock_entry/stock_entry.json:None,stock,1
