source_text	translated_text	quorum_decision	decision_ref
Not Helpful	غير مفيد	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Not Nullable	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Not a valid user	مستخدم غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Not active	غير نشط	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Number Card Name	اسم بطاقة العدد	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Number of Queries	عدد الاستعلامات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Number of keys	عدد المفاتيح	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
OAuth Client Role	دور عميل OAuth	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
OAuth Error	خطأ OAuth	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
OAuth Scope	نطاق OAuth	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
OAuth Settings	إعدادات OAuth	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
OTP SMS Template	قالب رسالة OTP	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Offset X	إزاحة X	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Offset Y	إزاحة Y	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Onboarding Status	حالة الإعداد التمهيدي	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
OpenID Configuration	تهيئة OpenID	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Optimizing image...	جارٍ تحسين الصورة...	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Original Value	القيمة الأصلية	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Outgoing Server	خادم الصادر	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Outgoing Settings	إعدادات الصادر	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
PDF Generator	مولّد PDF	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Package Name	اسم الحزمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Package Release	إصدار الحزمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Page Route	مسار الصفحة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Page Title	عنوان الصفحة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Parent DocType	نوع المستند الأب	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Parent Field	الحقل الأب	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Parent Icon	الأيقونة الأب	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Parent Missing	الأب مفقود	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Parent Page	الصفحة الأم	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Partial Success	نجاح جزئي	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Partially Sent	أُرسل جزئيًا	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Password Email Sent	أُرسل بريد كلمة المرور	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Payload Count	عدد الحمولة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Peak Memory Usage	ذروة استخدام الذاكرة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Pending Emails	رسائل بريد معلّقة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Pending Jobs	مهام معلّقة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permission Inspector	فاحص الأذونات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permission Levels	مستويات الأذونات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permission Log	سجل الأذونات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permission Manager	مدير الأذونات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permission Query	استعلام الأذونات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permission Type	نوع الإذن	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permissions Error	خطأ في الأذونات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Permitted Roles	الأدوار المسموح بها	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Plain Text	نص عادي	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Please select {0}	يرجى اختيار {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Policy URI	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Popover Element	عنصر منبثق	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Postal Code	الرمز البريدي	preserved-site-override (not imported, plan §12)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Prefer not to say	أفضل عدم الذكر	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Private Files (MB)	ملفات خاصة (ميجابايت)	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Profile Picture	صورة الملف الشخصي	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Protected File	ملف محمي	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Public Files (MB)	ملفات عامة (ميجابايت)	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Published Web Forms	نماذج ويب منشورة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Published Web Pages	صفحات ويب منشورة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Publishing Dates	تواريخ النشر	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Pull Emails	سحب الرسائل	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Pulling emails...	جارٍ سحب الرسائل...	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Purchase Manager	مدير المشتريات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Purchase User	مستخدم المشتريات	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Push Notifications	إشعارات فورية	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Put on Hold	تعليق	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Query Parameters	معاملات الاستعلام	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Queue Overloaded	الطابور مثقل	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Queue Status	حالة الطابور	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Queue Type(s)	نوع الطابور	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Queued At	طُرح في	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Queued By	طُرح بواسطة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Quick Entry	إدخال سريع	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Quick Lists	قوائم سريعة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
RQ Worker	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Rate Limiting	تحديد المعدل	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Raw Printing Setting	إعداد الطباعة الخام	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Re-Run in Console	إعادة التشغيل في وحدة التحكم	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Read mode	وضع القراءة	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Realtime (SocketIO)	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Recorder Query	استعلام المسجّل	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Recursive Fetch From	جلب تعاودي من	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Redirect HTTP Status	حالة إعادة التوجيه HTTP	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Redirect To Path	إعادة توجيه إلى مسار	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Redirect URI	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Reference Datetime	تاريخ ووقت المرجع	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Reference Doc	المستند المرجعي	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Reference Document	المستند المرجعي	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Reference Name	اسم المرجع	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Relay Settings	إعدادات الترحيل	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Release Notes	ملاحظات الإصدار	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Repeat on Days	التكرار في الأيام	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Request Body	جسم الطلب	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
Request Description	وصف الطلب	quorum-confirmed (release payload row)	stage6-W6-0b batch-5 owner-approved 2026-09-22
